;Local_Authority;casualties_16_million;All_casualties_16;Pop_16;Average_casualties_10-14;average_million
1;West Midlands;219.4549862;1,273;6355100;1279;201.2556844
2;Birmingham;242.7596706;273;1128100;267;236.6811453
3;Coventry;291.8582872;103;353200;86.8;245.7531144
4;Dudley;107.0414376;34;317600;44.6;140.4282116
5;Herefordshire, County of;248.2713447;47;189500;43.2;227.9683377
6;Sandwell;114.6533132;37;322600;45.6;141.3515189
7;Shropshire;191.465123;60;314400;65;206.7430025
8;Solihull;226.6684926;48;212200;40.8;192.271442
9;Staffordshire;204.1235259;177;866400;203;234.3028624
10;Stoke-on-Trent;217.1972862;55;253700;64.6;254.6314545
11;Telford and Wrekin;179.2156137;31;173700;33.2;191.1341393
12;Walsall;193.7463;54;278900;39.6;141.986375
13;Warwickshire;312.5280647;174;559000;164.8;294.8121646
14;Wolverhampton;264.9822111;68;258000;52.8;204.6511628
15;Worcestershire;192.0923141;112;583500;128;219.3658955